Sample	Data	Group
MOCK-B1	/gpfsdata/Project/06.influenza-mouse-16S/00.data/respiratory_tract/hxdfastq_pass_merge/barcode01	balf_mock
MOCK-B2	/gpfsdata/Project/06.influenza-mouse-16S/00.data/respiratory_tract/hxdfastq_pass_merge/barcode02	balf_mock
MOCK-B3	/gpfsdata/Project/06.influenza-mouse-16S/00.data/respiratory_tract/hxdfastq_pass_merge/barcode03	balf_mock
MOCK-B4	/gpfsdata/Project/06.influenza-mouse-16S/00.data/respiratory_tract/hxdfastq_pass_merge/barcode04	balf_mock
MOCK-B5	/gpfsdata/Project/06.influenza-mouse-16S/00.data/respiratory_tract/hxdfastq_pass_merge/barcode05	balf_mock
MOCK-B6	/gpfsdata/Project/06.influenza-mouse-16S/00.data/respiratory_tract/hxdfastq_pass_merge/barcode06	balf_mock
MOCK-B7	/gpfsdata/Project/06.influenza-mouse-16S/00.data/respiratory_tract/hxdfastq_pass_merge/barcode07	balf_mock
MOCK-B8	/gpfsdata/Project/06.influenza-mouse-16S/00.data/respiratory_tract/hxdfastq_pass_merge/barcode08	balf_mock
MOCK-B9	/gpfsdata/Project/06.influenza-mouse-16S/00.data/respiratory_tract/hxdfastq_pass_merge/barcode09	balf_mock
MOCK-B10	/gpfsdata/Project/06.influenza-mouse-16S/00.data/respiratory_tract/hxdfastq_pass_merge/barcode10	balf_mock
IAV-B1	/gpfsdata/Project/06.influenza-mouse-16S/00.data/respiratory_tract/hxdfastq_pass_merge/barcode11	balf_IAV
IAV-B2	/gpfsdata/Project/06.influenza-mouse-16S/00.data/respiratory_tract/hxdfastq_pass_merge/barcode12	balf_IAV
IAV-B3	/gpfsdata/Project/06.influenza-mouse-16S/00.data/respiratory_tract/hxdfastq_pass_merge/barcode13	balf_IAV
IAV-B4	/gpfsdata/Project/06.influenza-mouse-16S/00.data/respiratory_tract/hxdfastq_pass_merge/barcode14	balf_IAV
IAV-B5	/gpfsdata/Project/06.influenza-mouse-16S/00.data/respiratory_tract/hxdfastq_pass_merge/barcode15	balf_IAV
IAV-B6	/gpfsdata/Project/06.influenza-mouse-16S/00.data/respiratory_tract/hxdfastq_pass_merge/barcode16	balf_IAV
IAV-B7	/gpfsdata/Project/06.influenza-mouse-16S/00.data/respiratory_tract/hxdfastq_pass_merge/barcode17	balf_IAV
IAV-B8	/gpfsdata/Project/06.influenza-mouse-16S/00.data/respiratory_tract/hxdfastq_pass_merge/barcode18	balf_IAV
IAV-B9	/gpfsdata/Project/06.influenza-mouse-16S/00.data/respiratory_tract/hxdfastq_pass_merge/barcode19	balf_IAV
IAV-B10	/gpfsdata/Project/06.influenza-mouse-16S/00.data/respiratory_tract/hxdfastq_pass_merge/barcode20	balf_IAV
